City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-22.5,100,39,2.24,RU,1714327182
1,atafu village,-8.5421,-172.5159,29.94,75,88,6.71,TK,1714327148
2,al kharijah,25.4514,30.5464,25.38,14,1,4.37,EG,1714327182
3,merritt island,28.5392,-80.672,28.34,52,40,7.72,US,1714327182
4,ambovombe,-25.1667,46.0833,21.23,79,49,7.98,MG,1714327182
5,sarangani,5.4033,125.4636,28.83,79,87,8.41,PH,1714327183
6,puerto ayora,-0.7393,-90.3518,28.98,91,19,1.79,EC,1714327183
7,enewetak,11.3474,162.3373,27.12,73,94,6.67,MH,1714327183
8,berezovo,63.9381,65.0419,-7.68,62,7,6.94,RU,1714327183
9,petawawa,45.9001,-77.3328,18.77,68,100,3.6,CA,1714327183
10,ghanzi,-21.5667,21.7833,20.44,40,0,3.93,BW,1714327183
11,ribeira grande,38.5167,-28.7,18.22,59,20,4.02,PT,1714327183
12,bethel,41.3712,-73.414,22.97,61,20,3.6,US,1714326952
13,bredasdorp,-34.5322,20.0403,16.53,86,4,1.21,ZA,1714327183
14,arraial do cabo,-22.9661,-42.0278,34.98,51,0,4.63,BR,1714327184
15,west island,-12.1568,96.8225,27.99,89,75,6.69,CC,1714327184
16,hawaiian paradise park,19.5933,-154.9731,22.24,96,64,0.45,US,1714327184
17,punta arenas,-53.15,-70.9167,5.06,81,40,13.38,CL,1714326753
18,port-aux-francais,-49.35,70.2167,4.7,65,48,10.87,TF,1714327184
19,kerikeri,-35.2268,173.9474,12.73,89,90,1.94,NZ,1714327184
20,badger,64.8,-147.5333,5.56,56,0,0.45,US,1714327184
21,apiai,-24.5094,-48.8425,27.16,49,20,1.93,BR,1714327139
22,klyuchi,52.2667,79.1667,14.95,27,100,7.34,RU,1714327184
23,fuzesgyarmat,47.1,21.2167,18.3,54,17,1.66,HU,1714327184
24,georgetown,5.4112,100.3354,27.96,83,40,2.06,MY,1714327059
25,carnarvon,-24.8667,113.6333,23.68,73,29,1.85,AU,1714327185
26,ghat,24.9647,10.1728,34.09,10,0,4.51,LY,1714327185
27,porto novo,6.4965,2.6036,30.9,79,98,5.88,BJ,1714327180
28,st. john's,47.5649,-52.7093,2.76,96,100,9.77,CA,1714327068
29,iqaluit,63.7506,-68.5145,-7.15,58,75,2.06,CA,1714327185
30,avarua,-21.2078,-159.775,25.03,78,75,4.63,CK,1714327185
31,daru,-9.0763,143.2092,27.2,86,97,7.36,PG,1714327185
32,adamstown,-25.066,-130.1015,23.03,75,0,2.36,PN,1714327185
33,talnakh,69.4865,88.3972,-8.77,88,99,1.18,RU,1714327185
34,greymouth,-42.4667,171.2,8.07,92,5,2.23,NZ,1714327186
35,longyearbyen,78.2186,15.6401,0.91,75,75,3.6,SJ,1714327186
36,aasiaat,68.7098,-52.8699,0.67,82,43,0.25,GL,1714327186
37,papatowai,-46.5619,169.4708,9.97,86,30,2.55,NZ,1714327186
38,coquimbo,-29.9533,-71.3436,16.85,67,0,5.14,CL,1714326880
39,anadyr,64.75,177.4833,-4.72,100,100,2.0,RU,1714327112
40,kedrovyy,56.1667,91.8167,11.59,51,100,6.67,RU,1714327186
41,edinburgh of the seven seas,-37.0676,-12.3116,14.52,75,20,14.0,SH,1714327186
42,waitangi,-43.9535,-176.5597,11.01,94,18,0.45,NZ,1714327186
43,shenjiamen,29.9576,122.298,17.09,100,100,1.96,CN,1714327187
44,isangel,-19.55,169.2667,24.79,80,100,6.09,VU,1714327187
45,mora,11.0461,14.1401,35.17,6,97,2.21,CM,1714327187
